CNT_d_nm,CNT_l_nm,CNT_wt_pct,CNT_vol_frac,Al_particle_size_um,Al_wt_pct,ISS_MPa,Sinter_T_K,Porosity_pct,sigma_y_MPa,Hardness_GPa,sigma_UTS_MPa
20.0,158.70781820836982,2.3489932885906,0.03,27.987561995001798,97.6510067114094,44.5,853.1,2.9358974358974357,57.4217628481194,0.2454,80.0
20.0,100.0,2.3489932885906,0.03,23.042401911296018,97.6510067114094,60.0,853.1,2.7564102564102564,85.4148722365777,0.365,119.0
20.0,947.536231884058,0.584307178631052,0.0075,13.783895440867811,99.415692821369,80.5,823.1,2.282051282051282,129.507780911031,0.5534,217.0
20.0,185.2607814752064,1.17056856187291,0.015,24.35862089494817,98.8294314381271,80.5,823.1,2.807692307692308,79.6737171583041,0.3404,126.0
20.0,2649.10798122066,0.116705568522841,0.0015,28.378948887136964,99.8832944314772,35.5,853.1,2.9487179487179485,50.0,0.2074,85.0
20.0,511.428571428571,5.93220338983051,0.075,2.5679837175175706,94.0677966101695,70.0,913.1,0.7307692307692308,379.047619047619,1.6197,398.0
20.0,159.047619047619,5.93220338983051,0.075,7.3784696444643165,94.0677966101695,70.0,913.1,1.705128205128205,202.857142857143,0.8668,213.0
20.0,158.70781820836982,7.95454545454546,0.1,25.044661764026408,92.0454545454546,44.5,873.1,2.8333333333333335,76.1904761904762,0.3256,80.0
20.0,1399.31034482759,0.311387900355872,0.004,22.724613747003602,99.6886120996441,58.0,873.1,2.7435897435897436,86.0715324222158,0.3678,148.0
20.0,605.034013605442,2.3489932885906,0.03,13.039082139400925,97.6510067114094,49.0,793.1,2.230769230769231,132.070054550675,0.5643,184.0
20.0,584.705882352941,0.584307178631052,0.0075,14.6727844494507,99.415692821369,85.0,833.1,2.33974358974359,122.942870357937,0.5253,206.0
20.0,1448.57142857143,1.17056856187291,0.015,8.019618670532576,98.8294314381271,70.0,823.1,1.782051282051282,183.376015681811,0.7836,290.0
20.0,848.571428571429,1.17056856187291,0.015,11.34840036114894,98.8294314381271,70.0,823.1,2.102564102564102,143.539157102659,0.6133,227.0
20.0,403.333333333333,2.3489932885906,0.03,8.360792207076733,97.6510067114094,80.0,873.1,1.8205128205128205,180.878552971576,0.7729,252.0
20.0,823.921568627451,2.3489932885906,0.03,6.788578925120634,97.6510067114094,68.0,903.1,1.6282051282051282,215.331610680448,0.9201,300.0
20.0,333.725490196079,2.3489932885906,0.03,11.19188944999011,97.6510067114094,68.0,903.1,2.0897435897435894,143.554407120299,0.6134,200.0
20.0,1848.57142857143,0.584307178631052,0.0075,8.596267161782194,99.415692821369,87.5,903.1,1.846153846153846,176.058964832968,0.7523,295.0
20.0,1255.65051020408,2.00250312891114,0.0256,8.838374078258772,97.9974968710889,49.0,833.1,1.8717948717948718,174.673092058933,0.7464,253.0
20.0,731.7922474068662,2.90163567107327,0.037,3.3901351364304406,97.0983643289267,147.3792307692308,773.1,0.9871794871794871,291.26287968744,1.2446,380.2
20.0,623.03899187341,2.90163567107327,0.037,4.117696482664305,97.0983643289267,137.16923076923078,773.1,1.1666666666666667,266.824989466427,1.1402,348.3
20.0,1027.13012477718,1.71951764180438,0.022,11.037537051443826,98.2804823581956,51.0,773.1,2.0769230769230766,143.947509373326,0.6151,215.0
20.0,787.816091954023,2.3489932885906,0.03,6.5115616972517065,97.6510067114094,72.5,833.1,1.5897435897435899,223.944875107666,0.9569,312.0
20.0,671.064259072624,1.71951764180438,0.022,5.214172133306117,98.2804823581956,141.88153846153847,823.1,1.3846153846153846,245.715050883771,1.0499,367.0
20.0,713.9013069250159,1.71951764180438,0.022,4.797311741015238,98.2804823581956,145.80846153846156,823.1,1.3076923076923075,251.740760578468,1.0757,376.0
20.0,828.2013623060326,1.71951764180438,0.022,3.7884966543475826,98.2804823581956,155.23307692307694,823.1,1.0897435897435899,273.165506159614,1.1672,408.0
20.0,638.6528497181191,1.5625,0.02,5.908353878125555,98.4375,138.74,823.1,1.5,233.75255152433,0.9988,355.0
20.0,258.04143126177,3.53535353535354,0.045,2.640308903288243,96.4646464646465,147.5,813.1,0.7564102564102564,375.949209510768,1.6064,453.0
20.0,928.212560386474,0.584307178631052,0.0075,17.454322774580643,99.415692821369,69.0,883.1,2.5,110.409859302031,0.4718,185.0
20.0,443.035752515521,5.32994923857868,0.0675,2.4631936372244967,94.6700507614213,86.5,903.1,0.6923076923076922,400.0,1.7092,420.0
20.0,937.3117834414645,1.5625,0.02,10.0,98.4375,163.08692307692309,823.1,1.0512820512820513,283.136893395667,1.2099,430.0
20.0,458.095238095238,2.3489932885906,0.03,3.3433802527227092,97.6510067114094,122.5,803.1,0.9743589743589743,291.415446454206,1.2452,406.0
20.0,346.530612244898,2.3489932885906,0.03,4.601550888209734,97.6510067114094,122.5,803.1,1.2692307692307692,261.986792994545,1.1195,365.0
20.0,164.21768707483,2.3489932885906,0.03,6.931476056456395,97.6510067114094,122.5,803.1,1.6474358974358976,213.896066609245,0.914,298.0
20.0,148.0,2.3489932885906,0.03,6.931476056456395,97.6510067114094,125.0,773.1,1.6474358974358976,213.896066609245,0.914,298.0
20.0,340.0,2.3489932885906,0.03,4.2336680758735605,97.6510067114094,125.0,773.1,1.1923076923076923,265.575653172552,1.1348,370.0
20.0,425.333333333333,1.17056856187291,0.015,7.276709839534773,98.8294314381271,125.0,773.1,1.6923076923076923,206.139934869898,0.8808,326.0
20.0,154.292565947242,2.3489932885906,0.03,15.4035870725167,97.6510067114094,69.5,893.1,2.3846153846153846,119.867929945449,0.5122,167.0
20.0,1187.60828625235,3.53535353535354,0.045,2.714671069457616,96.4646464646465,59.0,623.1,0.7820512820512822,355.20146064152,1.5178,428.0
20.0,1020.0,0.779510022271715,0.01,18.709371088876285,99.2204899777283,55.0,873.1,2.564102564102564,100.352755139277,0.4288,165.0
20.0,214.92218897949397,3.93258426966292,0.05,11.831188140019108,96.0674157303371,69.62615384615384,873.1,2.141025641025641,140.080546314131,0.5986,160.0
20.0,715.156695156695,1.17056856187291,0.015,16.976201773056665,98.8294314381271,58.5,873.1,2.4743589743589745,112.554933763318,0.481,178.0
20.0,772.136752136752,1.17056856187291,0.015,16.283464691144914,98.8294314381271,58.5,873.1,2.435897435897436,115.716589206108,0.4945,183.0
20.0,314.117647058824,0.467289719626168,0.006,21.797304869251224,99.5327102803738,68.0,873.1,2.7051282051282053,87.3465533522191,0.3732,148.0
20.0,312.47311827957,0.584307178631052,0.0075,18.196870927258757,99.415692821369,77.5,773.1,2.5384615384615383,102.651328648374,0.4386,172.0
20.0,662.570281124498,0.584307178631052,0.0075,14.6727844494507,99.415692821369,83.0,773.1,2.33974358974359,122.942870357937,0.5253,206.0
20.0,686.666666666666,0.584307178631052,0.0075,18.971008833728323,99.415692821369,66.0,773.1,2.5769230769230766,98.4736582964057,0.4208,165.0
20.0,2350.70866141732,0.194552529182879,0.0025,20.33511404507077,99.8054474708171,63.5,903.1,2.6410256410256414,94.3436929227849,0.4031,164.0
20.0,195.87100560300456,1.17056856187291,0.015,22.102125253792845,98.8294314381271,63.735769230769236,903.1,2.717948717948718,87.2616902209997,0.3729,138.0
20.0,612.592592592593,0.389321468298109,0.005,21.496688400204828,99.6106785317019,67.5,833.1,2.6923076923076925,90.8052374117578,0.388,155.0
20.0,532.941176470588,3.93258426966292,0.05,9.087299740349302,96.0674157303371,42.5,873.1,1.8974358974358974,169.847662405883,0.7258,194.0
20.0,594.497314849507,0.397116732296603,0.0051,17.94590966766,99.6028832677034,78.5,848.1,2.5256410256410255,105.528831356133,0.4509,180.0
20.0,526.658946149392,0.685785536159601,0.0088,16.511177795980487,99.3142144638404,78.5,848.1,2.448717948717949,115.714234056146,0.4945,192.0
20.0,515.049504950495,0.685785536159601,0.0088,25.75002441967357,99.3142144638404,50.5,848.1,2.858974358974359,74.1294311922182,0.3168,123.0
20.0,1887.68676867687,0.685785536159601,0.0088,17.213602331683493,99.3142144638404,50.5,848.1,2.4871794871794872,110.892807637139,0.4738,184.0
20.0,275.28181798503,1.17056856187291,0.015,15.618995691285367,98.8294314381271,85.33384615384615,796.1,2.3974358974358974,117.613582471782,0.5026,186.0
20.0,327.3594772471372,1.17056856187291,0.015,12.507004597391955,98.8294314381271,96.32923076923078,896.1,2.1923076923076925,134.054190774289,0.5728,212.0
13.2,327.3594772471372,1.17056856187291,0.015,12.507004597391955,98.8294314381271,54.0,850.1,2.1923076923076925,134.054190774289,0.5728,212.0
13.2,327.3594772471372,1.17056856187291,0.015,12.507004597391955,98.8294314381271,60.0,900.1,2.1923076923076925,134.054190774289,0.5728,212.0
